behaviorLogId,studentId,yearGroup,academicYear,date,primaryCategory,subcategory,severity,details,status,dateResolved
226,1140,3,2019/20,2020-04-21,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
227,1141,3,2019/20,2019-09-05,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
228,1142,3,2019/20,2019-10-25,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
229,1142,3,2019/20,2020-05-14,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Resolved,2020-07-07
230,1142,3,2019/20,2019-11-24,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
231,1143,3,2019/20,2019-09-19,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
232,1143,3,2019/20,2020-05-29,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Resolved,2020-07-08
233,1143,3,2019/20,2020-02-19,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
234,1145,3,2019/20,2020-07-01,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2020-08-26
235,1145,3,2019/20,2020-07-11,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
236,1146,3,2019/20,2020-02-18,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2020-04-03
237,1147,4,2019/20,2020-07-30,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
238,1147,4,2019/20,2020-05-02,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
239,1149,4,2019/20,2019-10-25,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
240,1150,4,2019/20,2020-03-11,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
241,1150,4,2019/20,2020-01-09,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
242,1150,4,2019/20,2019-10-02,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
243,1151,4,2019/20,2020-03-23,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
244,1151,4,2019/20,2019-09-15,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
245,1151,4,2019/20,2020-01-04,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
246,1152,4,2019/20,2020-03-27,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
247,1152,4,2019/20,2020-01-13,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Resolved,2020-04-01
248,1153,4,2019/20,2019-12-10,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
249,1154,4,2019/20,2019-09-13,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
250,1155,4,2019/20,2019-09-28,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
251,1156,4,2019/20,2020-01-01,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
252,1156,4,2019/20,2020-03-06,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
253,1157,4,2019/20,2020-06-12,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
254,1157,4,2019/20,2020-07-09,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
255,1159,4,2019/20,2020-04-01,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2020-06-21
256,1159,4,2019/20,2019-09-07,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
257,1160,4,2019/20,2020-03-01,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-04-07
258,1160,4,2019/20,2020-04-28,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
259,1161,4,2019/20,2019-09-05,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
260,1161,4,2019/20,2019-11-18,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
261,1161,4,2019/20,2020-07-08,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
262,1162,4,2019/20,2020-01-20,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
263,1162,4,2019/20,2019-09-14,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
264,1163,4,2019/20,2020-02-19,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Pending,
265,1163,4,2019/20,2019-12-30,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Resolved,2020-01-05
266,1165,4,2019/20,2020-05-23,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2020-05-26
267,1166,4,2019/20,2019-09-23,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
268,1166,4,2019/20,2020-07-18,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
269,1166,4,2019/20,2020-03-10,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
270,1167,4,2019/20,2020-05-05,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
271,1167,4,2019/20,2020-07-19,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
272,1168,4,2019/20,2019-11-16,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
273,1168,4,2019/20,2019-12-11,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
274,1168,4,2019/20,2019-12-08,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2020-02-17
275,1169,4,2019/20,2020-05-18,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
276,1169,4,2019/20,2020-01-29,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
277,1170,4,2019/20,2019-10-31,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
278,1171,4,2019/20,2019-09-16,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
279,1173,4,2019/20,2020-05-24,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
280,1173,4,2019/20,2019-09-02,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
281,1174,4,2019/20,2020-06-20,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Resolved,2020-09-06
282,1174,4,2019/20,2020-01-21,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-03-08
283,1174,4,2019/20,2019-11-07,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
284,1175,4,2019/20,2020-01-30,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
285,1175,4,2019/20,2019-12-20,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Resolved,2020-01-19
286,1176,4,2019/20,2020-07-22,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
287,1176,4,2019/20,2020-01-24,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
288,1178,4,2019/20,2019-11-17,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
289,1178,4,2019/20,2019-09-19,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
290,1178,4,2019/20,2020-03-19,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
291,1179,4,2019/20,2019-09-16,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
292,1179,4,2019/20,2019-12-23,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
293,1181,4,2019/20,2020-07-09,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
294,1181,4,2019/20,2020-04-08,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
295,1182,4,2019/20,2019-12-30,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Resolved,2020-02-05
296,1182,4,2019/20,2020-05-16,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
297,1182,4,2019/20,2020-02-13,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Resolved,2020-03-08
298,1183,4,2019/20,2019-10-06,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Resolved,2019-12-16
299,1183,4,2019/20,2019-11-20,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Resolved,2020-01-19
300,1183,4,2019/20,2020-04-11,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
301,1184,4,2019/20,2020-04-30,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
302,1184,4,2019/20,2020-07-04,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
303,1187,4,2019/20,2019-09-19,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
304,1187,4,2019/20,2019-12-16,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
305,1187,4,2019/20,2020-04-29,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
306,1191,4,2019/20,2020-04-23,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
307,1192,4,2019/20,2020-05-06,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
308,1193,4,2019/20,2020-01-17,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
309,1193,4,2019/20,2020-07-23,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
310,1193,4,2019/20,2020-04-15,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
311,1194,4,2019/20,2020-05-17,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
312,1194,4,2019/20,2020-04-22,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2020-06-18
313,1194,4,2019/20,2020-06-16,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
314,1195,5,2019/20,2019-12-04,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
315,1196,5,2019/20,2019-09-30,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
316,1197,5,2019/20,2020-05-29,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
317,1197,5,2019/20,2019-09-07,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Resolved,2019-09-23
318,1197,5,2019/20,2020-01-15,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Resolved,2020-03-22
